Employee Code,Employee Name,PAN,PF Account No (UAN),Department,Designation,Date of Joining,Bank Account No,IFSC Code,Basic Salary (INR),HRA (INR),Conveyance Allowance (INR),Special Allowance (INR),Gross Salary (INR),PF Employee (12%) (INR),ESI Employee (0.75%) (INR),Professional Tax (INR),TDS (INR),Total Deductions (INR),Net Salary Payable (INR),PF Employer (12%) (INR),ESI Employer (3.25%) (INR),Total CTC (INR),Status
EMP001,Ajay Desai,DIYJQ4081D,646327971873,Finance,CFO,16-Dec-2022,02074360114,SBIN0001234,"112,000","44,800","1,600","21,900","180,300","1,800",0,200,"32,717","34,717","145,583","1,800",0,"182,100",Active
EMP002,Manish Desai,MRFTL5700V,001075836975,Finance,CFO,18-May-2020,54365104300,HDFC0002345,"131,000","52,400","1,600","19,000","204,000","1,800",0,200,"39,827","41,827","162,173","1,800",0,"205,800",Active
EMP003,Rajiv Mehta,PIFYX2708J,058953061492,Finance,CFO,01-Aug-2018,32371579682,SBIN0001234,"110,000","44,000","1,600","26,600","182,200","1,800",0,200,"33,287","35,287","146,913","1,800",0,"184,000",Active
EMP004,Shruti Mukherjee,TAZYP6059I,714234782907,Finance,CFO,12-Jun-2020,63604331751,KKBK0005678,"112,000","44,800","1,600","21,500","179,900","1,800",0,200,"32,597","34,597","145,303","1,800",0,"181,700",Active
EMP005,Manish Rao,LBGPF7875Z,078011036226,Finance,Finance Manager,13-Aug-2023,10254739279,PUNB0006789,"88,000","35,200","1,600","12,700","137,500","1,800",0,200,"19,877","21,877","115,623","1,800",0,"139,300",Active
EMP006,Ajay Chatterjee,GSNBX7622E,853517702479,Finance,Finance Manager,27-Jun-2018,82539083034,UTIB0004567,"76,000","30,400","1,600","11,900","119,900","1,800",0,200,"14,597","16,597","103,303","1,800",0,"121,700",Active
EMP007,Sima Mehta,RATYX7382Y,573844770137,Finance,Finance Manager,21-Jun-2021,45551379107,KKBK0005678,"91,000","36,400","1,600","10,300","139,300","1,800",0,200,"20,417","22,417","116,883","1,800",0,"141,100",Active
EMP008,Lata Rao,OBHGG6703V,321444948209,Finance,Senior Accountant,07-May-2021,59427242186,KKBK0005678,"48,000","19,200","1,600","9,500","78,300","1,800",0,200,"4,883","6,883","71,417","1,800",0,"80,100",Active
EMP009,Poonam Das,LIOFY9908L,502151025860,Finance,Senior Accountant,11-Jan-2023,13734649610,ICIC0003456,"57,000","22,800","1,600","13,500","94,900","1,800",0,200,"8,203","10,203","84,697","1,800",0,"96,700",On Leave
EMP010,Jyoti Kumar,VNUNP3280X,176999596751,Finance,Senior Accountant,01-Mar-2024,66531593792,SBIN0001234,"49,000","19,600","1,600","12,000","82,200","1,800",0,200,"5,663","7,663","74,537","1,800",0,"84,000",Active
EMP011,Asha Kapoor,YKCOB3427H,581574512230,Finance,Senior Accountant,20-Dec-2022,95678801259,KKBK0005678,"54,000","21,600","1,600","6,400","83,600","1,800",0,200,"5,943","7,943","75,657","1,800",0,"85,400",On Leave
EMP012,Priya Bansal,EBNNK4162J,188569073444,Finance,Accounts Executive,18-Feb-2023,77775851056,ICIC0003456,"35,000","14,000","1,600","5,200","55,800","1,800",0,200,"1,658","3,658","52,142","1,800",0,"57,600",Active
EMP013,Nisha Pandey,HUGMB5559J,331187925560,Finance,Accounts Executive,10-Jun-2021,12482997961,HDFC0002345,"33,000","13,200","1,600","7,500","55,300","1,800",0,200,"1,633","3,633","51,667","1,800",0,"57,100",Active
EMP014,Priya Sinha,XYOUA8029S,441497918401,Finance,Accounts Executive,15-May-2021,69872013476,PUNB0006789,"32,000","12,800","1,600","6,500","52,900","1,800",0,200,"1,513","3,513","49,387","1,800",0,"54,700",Active
EMP015,Prakash Patel,YUIVR8060E,582144141605,Finance,Junior Accountant,25-Aug-2020,44670666235,SBIN0001234,"28,000","11,200","1,600","6,500","47,300","1,800",0,200,"1,233","3,233","44,067","1,800",0,"49,100",Active
EMP016,Lata Chandra,MUKJM0187J,442419633188,Finance,Junior Accountant,25-Sep-2023,42258707233,KKBK0005678,"25,000","10,000","1,600","4,000","40,600","1,800",0,200,898,"2,898","37,702","1,800",0,"42,400",Active
EMP017,Ravi Kapoor,FQBLF8571T,615903733700,Sales,VP Sales,10-Aug-2020,59837213452,ICIC0003456,"99,000","39,600","1,600","22,500","162,700","1,800",0,200,"27,437","29,437","133,263","1,800",0,"164,500",Active
EMP018,Ajay Patel,NUBHA6607Z,348880577075,Sales,VP Sales,13-Dec-2019,77163350222,SBIN0001234,"117,000","46,800","1,600","20,000","185,400","1,800",0,200,"34,247","36,247","149,153","1,800",0,"187,200",Active
EMP019,Neha Verma,ZOMXN2043L,774507441316,Sales,VP Sales,09-Mar-2019,52950485870,SBIN0001234,"113,000","45,200","1,600","18,300","178,100","1,800",0,200,"32,057","34,057","144,043","1,800",0,"179,900",Active
